	project_name	project_by	location	status	project_desciption	possesion_date	area	unit_type	Super_builduparea	Builder_price	Apartment	total_unit	rera_id
10	Salarpuria East Crest	Salarpuria Sattva Group	Budigere Cross	Under Construction	East Crest is a residential project by Salarpuria Sattva Group located in the Budigere Cross locality of Bangalore. Spread over an area of 6.6 acres, the project offers 1, 2 and 3 BHK apartments with their carpet area ranging from 598 sq ft to 1,673 sq ft. Ceramic tiles dado on kitchen walls, modular switches and Vitrified Tiles flooring in the master bedroom are some of the key highlights of the project. It is currently in an under construction stage. The possession of the project is scheduled in March 2019.The project hosts plenty of amenities which include but not limited to a swimming pool, children's play area, club house, power backup provision, round-the-clock security provision, cricket pitch, indoor games facility and intercom facility.Budigere Cross is located towards the east side of Bangalore. The area is surrounded by other developed localities such as Hostoke, Horamavu, Chikkagubbi, Kuvempu and ITPL. The Whitefield and Marathahalli are respectively 7 and 11 kilometers from here. The vicinity also comprises of various schools, colleges, hotels, parks, banks and shopping centers.	Possession date: Mar'19	1673 sq ft(3BHK+3T)	3 BHK	598 - 1,673 sq ft	₹ 57.73 L - ₹ 81.44 L	1, 2, 3 BHK	667	RERA ID: PR/KN/170730/000406
11	Shriram Green Field	Shriram Properties	Budigere Cross	Under Construction	Green Field project is registered in RERA with following RERA IDs 1.PR/KN/170810/001220 SHRIRAM GREEN FIELD PHASE 2 & PR/KN/170808/001213 SHRIRAM GREEN FIELD PHASE 1. Greenfield is a residential project spread over an area of 20 acres. Located in the Budigere Cross locality of Bangalore, it is a project by Shriram Properties. It offers 2 and 3 BHK apartments with their carpet area ranging from 928 sq ft to 1,350 sq ft. Laminated wooden flooring in the master bedroom, texture paint on the outside of the apartment, sal wood frame for the internal door are some of the specifications of the apartment. Currently, the project is in an under construction stage. Its possession is due in March 2019.When it comes to amenities, Greenfield offers a clubhouse, gymnasium, swimming pool, play area for children, library, spa, Wi-Fi connectivity, party hall and much more.The Budigere Cross locality is situated toward the east of Bangalore. Hoskote, Horamavu, Chikkagubbi, Anagalapura, Ramamurthy Nagar, Kuvempu, are some of the developed areas that surround this locality. The airport is 35 kilometres from here, and the Old Madras road connects it to the nearest railway station. Several schools, hospitals and shopping zones are located in and around the area.	Possession date: Mar'19	1350 sq ft(3BHK+3T)	3 BHK	928 - 1,350 sq ft	₹ 36.37 L - ₹ 54.40 L	2, 3 BHK	932	RERA ID: PR/KN/170810/001220
12	Ardente Pine Grove	Ardente	Avalahalli Off Sarjapur Road	Under Construction	Pinegrove by Ardente, located in Avanahalli, Bangalore, offers 3BHK apartments. This real estate project hosts various amenities such as gymnasium, swimming pool, childrens play area, club house, intercom, jogging track, power backup, landscaped gardens, indoor games, multipurpose hall, and car parking tennis court, fitness court and so on.Located in the western part of Bangalore, Avanahalli is surrounded by Ganapathi Nagar, New BDA Layout, Srinagar, Telecom Colony, etc. It has emerged as one of the most preferred destinations for residential purposes due to its proximity to all amenities and the tranquil atmosphere. The Mysore Road, Outer Ring Road, and the NICE Bangalore Mysore Expressway are all located near this area which ensures smooth connectivity.	Possession date: Dec'19	2025 sq ft(3BHK+3T)	3 BHK	1,639 - 2,025 sq ft	₹ 70.48 L - ₹ 87.08 L	3 BHK	119	
13	MJ Amaze	MJ	Avalahalli Off Sarjapur Road	On Hold		Possession date: Oct'18	1434 sq ft(3BHK+3T)	3 BHK	900 - 1,434 sq ft	₹ 22.50 L - ₹ 35.85 L	2, 3 BHK	232	
14	S AND S Builders Trillium Apartments	S AND S Builders	Avalahalli Off Sarjapur Road	Under Construction	S and S Builders & Developers Apartments Bangalore comes with premium 2 BHK and 3 BHK apartments. Key amenities on offer at this project include a well equipped gymnasium, club house, swimming pool, intercom facilities, playing zone for kids, multipurpose room and 24 hour security services.Added amenities include a jogging track, walkway and car parking facilities. Located at Avalahalli, the project is well connected to areas like the New BDA Layout, Girinagar, Ganapathi Nagar and Srinagar. The Outer Ring Road, Mysore Road and NICE Mysore-Bangalore Expressway connect the project to several destinations in the city with aplomb.	Possession date: Dec'18	1500 sq ft(3BHK+2T)	3 BHK	955 - 1,500 sq ft	₹ 31.04 L - ₹ 48.75 L	2, 3 BHK	137	
15	Prabhavathi Daffodils	Prabhavathi	Avalahalli Off Sarjapur Road	On Hold	For those who want to live in their dream Prabhavathi Daffodils caters the highest standards and stands out for its fine design with sophisticated interiors, the international standard of living can be experienced here with the list of high end amenities. Offering 1/2/3 BHK apartments off Sarjapur road in Bangalore, a well know location for its residential ambience.Prabhavathi Daffodils, the symbol of style, luxury and comfort. The property is located near Amrita College of Engineering, Off Sarjapur Road, Kasavanahalli, Bangalore.	Possession date: Jun'18	1660 sq ft(3BHK+3T)	3 BHK	517 - 1,660 sq ft	₹ 18.09 L - ₹ 58.10 L	1, 2, 3 BHK	500	
16	TG Ascent	TG	Avalahalli Off Sarjapur Road	Launch	Avalahalli Off Sarjapur Road region of Bengaluru is one of the most popular areas which are now getting reorganized by the real estate projects. One of them is the T G Developers Ascent project which is under construction. The cost depends on request. The region where this project is available is surrounded by restaurants, bus stations, ATMs, banks, train stations, parks, schools, petrol pumps, hospitals and schools. The area is also accessible via major roads. The different facilities of the project are playground for children, and security services.	Possession date: Jul'19	1320 sq ft(3BHK+3T)	3 BHK	1,050 - 1,320 sq ft	₹ 39.90 L - ₹ 50.16 L	2, 3 BHK	312	
17	Garudachala Green Field	Garudachala Estates	Doddanekundi	On Hold	Doddanekundi region of Bangalore is an interior area which is getting developed by the real estate projects and properties. One of them is the Garudachala Estates Garuda Green Field Residency project which has available apartments of 2 and 3 BHK only. The entire project has many facilities near its premises like restaurant, bus station, ATM, bank, train station, park, school, petrol pump, hospital, higher education schools and also a play school facility. The area is also accessible via major high roads. Other amenities like gym, swimming pool, club house, and playground for children, intercom services and much more are also available.	Possession started from: Dec'17	1800 sq ft(3BHK+3T)	3 BHK	1,100 - 1,800 sq ft	₹ 60.50 L - ₹ 99.00 L	2, 3 BHK	90	
18	Mana Tropicale	Mana Projects	Avalahalli Off Sarjapur Road	Under Construction	A premium housing project launched by Mana, Tropicale in Avalahalli Off Sarjapur Road, Bangalore is offering Apartment starting at Rs 43.84 lacs. It offers 2, 3 BHK Apartment in Bangalore East. The project is Under Construction project and possession in Dec 18. Among the many luxurious amenities that the project boasts are Cricket Net, Hammocks Zone, Badminton Court, Shopping Mall, Gymnasium etc. The Apartment are available from 1050 sqft to 1789 sqft at an attractive price points starting at @Rs 4,175 per sqft.	Possession date: Jun'19	2461 sq ft(3BHK+3T)	3 BHK	1,050 - 2,461 sq ft	₹ 47.25 L - ₹ 1.11 Cr	2, 3 BHK	240	
19	Bhoomika Sampurna	Bhoomika	Bidadi	On Hold	BhoomikaSampoorna Company is developing apartments in the Bidadi region of Bangalore which is set for moving in purpose. They have a range of modern style residential apartments. The area of the apartments is efficiently planned making the most use of available space. This project has all the required amenities like, security surveillance for 24 hours, beautiful landscaped garden, individual parking area for each apartment and rain water harvesting system, and much more. The locality is well settled with all kinds of facilities available within a mile like hospital, banking, ATM, petrol pump, and bus station, school etc. The cost of the apartments and further details can be availed on request.	Possession started from: Feb'18	1069 sq ft(3BHK+3T)	3 BHK	937 - 1,069 sq ft	₹ 29.97 L - ₹ 34.20 L	2, 3 BHK	348	
20	Riteway Pristina Apartments	Riteway Projects	Bidadi	On Hold	Riteway Projects Pristina Apartments Bangalore offers 1, 2 and 3 BHK homes for buyers, and comes with several amenities and facilities. These include a swimming pool, power backup, clubhouse, playing zone for kids, jogging track, car parking facilities, badminton court, basketball court, theme parks, underground electrical cabling, LED street lighting, spacious and wide tar roads, open air theatre and eco-friendly sewage treatment plant. Located off the Mysore-Bangalore Expressway at Bidadi, the project is well connected to places like Channapatna, Magadi and Kanakapura. The area is also home to a reliable BMTC bus transport network while the Bidadi railway station is also well linked to the project.	Possession started from: Dec'17	1400 sq ft(3BHK+3T)	3 BHK	750 - 1,400 sq ft	₹ 22.50 L - ₹ 42.00 L	1, 2, 3 BHK	100	
21	Sampurna Ocean	Sampurna Bhoomika Infra India Pvt Ltd	Bidadi	On Hold	We are happy to announce that SBIPL is coming up with a Big residential project Ocean with star class amenities near Bidadi, which is very close to the Industrial Area and Innovative Film City, with a very good approach and connectivity situated on 150 Ft Double Road. The entire project is spread on a land area of 5 Acres. The entire project is unique in its own way where there are no common walls with independent House Concept, with 100% Vaastu Complaisant, Eco-Friendly with Good Ventilation and gives 360 View. SBIPL has taken maximum care in designing these apartments which has resulted in a choice of only East or North facing units to our esteemed customers.	Possession started from: Feb'18	1185 sq ft(3BHK+2T)	3 BHK	900 - 1,185 sq ft	₹ 27.00 L - ₹ 35.55 L	2, 3 BHK	600	
22	Vijayas Vaibhav	Vijayas Ventures	Bommasandra	Under Construction	Bommasandra region of Bangalore is one of the popular areas due to the vast projects of real estate that are taking place in this region. Vijayas Ventures Vaibhav Residency Company is developing a residential estate which will deliver spacious apartments. The entire project is still in under construction phase. The different amenities provided by these project area children play ground area for everybody for playing the sport, intercom services, a club house, gym, closed circuit security, powers backup generator, a beautiful garden, rain water harvesting and many other recreational facilities. The cost of the apartments is based on the request value.	Possession date: Dec'18	1435 sq ft(3BHK+3T)	3 BHK	900 - 1,435 sq ft	₹ 28.80 L - ₹ 45.92 L	2, 3 BHK	32	
23	Fateh Studio	Fateh Buildtech	Bommasandra	On Hold	Fateh Buildtech Studio Group is offering great apartments in the Jigani region of Bangalore. These apartments are still in an under construction form and the project is going to be launched soon, which has all the necessary provisions like bank, atm, hospital, bus station, restaurant, school, petrol pump etc nearby. The other facilities of the project are a beautiful playground for the children, an intercom service, 24 hours security back up facility, gym, swimming pool, club house, a beautiful garden, a community hall and facility of indoor games and ample space for parking a car for each owner of the apartments.	Possession date: Dec'18	1105 sq ft(2BHK+2T)	2 BHK	641 - 1,105 sq ft	₹ 17.95 L - ₹ 30.94 L	1, 2 BHK	189	
24	Mayur Brundavan	Mayur	Bommasandra	On Hold	Mayur Group has come up with a new residential project in the fast developing Electronic City of Bangalore, Mayur Brundavan that offers a range of planned and economically designed apartments. Brundavan has a total of 256 units on offer that are presently under construction. Buyers interested in the property can enquire for further details directly from the builder or avail of units via resale. The units on offer have 2 BHK apartments in 3 different sizes of 900, 915 and 935 sq. ft. Prices for these apartments have been estimated to be around 24.3 lakhs, 24.7 and 25.2 lakhs respectively. Resale prices for the same are around 25, 25.4 and 26 lakhs respectively. Residents at Mayur Brundavan will have access to a wide range of facilities including a gymnasium, jogging track, swimming pool, power backup, departmental stores within campus, visitor park, shuttle and badminton court, amphitheatre, party hall and children's play area.Mayur Group of developers are a diversified firm that has earned a reputation in the Bangalore real estate market for having successfully completed a total of 9 residential projects and having 7 ongoing projects.	Possession started from: Dec'17	950 sq ft(2BHK+2T)	2 BHK	900 - 950 sq ft	₹ 24.30 L - ₹ 25.65 L	2 BHK	256	
25	Gomati Iris	Gomati	Bommasandra	Under Construction	Gomati Iris by Gomati Infratech at Bommasandra Bangalore is one of the most sought after residential project in Electronic City Bangalore of the recent times. Current status of properties in Gomati Iris are Under Construction. Gomati Iris by Gomati Infratech is nominally priced and is very conveniently located. The surroundings provide access to facilities like hospitals, schools, banks, convenience store etc. Gomati Iris by Gomati Infratech offers a total of 186 well-planned and perfectly-designed units. It offers 2 BHK, 3 BHK residential properties. The project offers world class residential units with latest specifications that meet the expectations of the urban lifestyle. Gomati Iris by Gomati Infratech ensures comfortable lifestyle of unmatched quality through amenities like Multipurpose Room, Car Parking, Swimming Pool, 24 X 7 Security, Others, Lift Available that are best in class and features. The lavish yet thoughtfully designed residences potentially marks Gomati Iris as one of the most promising residential projects in Electronic City Bangalore. Project is conveniently priced across various budgets.	Possession date: Dec'18	1435 sq ft(3BHK+2T)	3 BHK	1,030 - 1,435 sq ft	₹ 32.45 L - ₹ 45.20 L	2, 3 BHK	188	RERA ID: PR/KN/170731/000624
26	GR Sunshine	GR Projects	Carmelaram	Under Construction	GR Projects Sunshine is located in Carmelaram, Bengalore. This magnificent projects comes with premium facilities like multi-layered with video door phone, departmental store, games Room, billiards, table tennis, Laundromat, party hall, badminton court, volley ball court, cricket practice pitch, CPVC fittings and piping for water supply, high quality HDPE pipes for sewer lines, service lift, fire fighting system and many others.Situated south of Bengalore, Carmelaram is a popular residential area with neighboring places like Varthur, Bellandur, Marathahalli, Avalahalli, Ramagondanahalli, Sarjapur Road Post Railway Crossing, Sarjapur Road. Â Confident, Kristal, DSR Infrastructures Pvt Ltd, Concorde Group, GR Projects, Corporate Leisure, Aratt, Aishwarya Associates and Janani Home are the key builders of the area.	Possession date: Dec'18	2950 sq ft(4BHK+4T)	4 BHK	833 - 2,950 sq ft	₹ 33.32 L - ₹ 1.24 Cr	1, 2, 3, 4 BHK	174	
27	DSR White Waters	DSR Infrastructures	Carmelaram	Under Construction		Possession date: Jun'19	1647 sq ft(3BHK+3T)	3 BHK	1,089 - 1,647 sq ft	₹ 48.46 L - ₹ 73.29 L	2, 3 BHK	195	RERA ID: PR/KN/170731/000841
28	Prestige Fairfield	Prestige Group	RMV	On Hold	RMV region of Bengaluru is a developing region for the prosperity of real estate business. Prestige Fairfield Apartment organization is offering great and spacious apartments. The project is all set for moving in purpose. The required necessities like park, petrol pump, school, restaurant, bus station, ATM, bank, hospital etc in the neighbourhood. This neighbourhood of Bengaluru is very much popular as many other real estate companies have settled their business in this region. The project offers other amenities like intercom, security for 24 hours and power back up. The price of the Apartment is based on the request value.	Possession date: Dec'20	3286 sq ft(4BHK+4T)	4 BHK	1,984 - 3,286 sq ft	Price on request	3, 4 BHK	165	
29	DNR Casablanca	DNR Group	Mahadevapura	Under Construction		Possession date: Sep'21	1842 sq ft(3BHK+3T)	3 BHK	1,255 - 1,842 sq ft	₹ 71.41 L - ₹ 1.05 Cr	2, 3 BHK	148	RERA ID: PR/KN/170902/001978
30	Prabhavathi Lotus Grand	Prabhavathi	Begur	On Hold	Prabhavathi Builders is one of the trusted name among the reputed real estate builders and is widely known for its continuous efforts in designing the homes that truly provide residents the best in terms of living. Prabhavathi Lotus Grand is the most confounding residential project that is entirely blessed with the comfort and exclusively designed in the most sophisticated living. Being the most spacious as well as elite constructions, each and every homes are completely designed with the intention to bring the nature cradle straight away to your home.	Possession date: Nov'18	1740 sq ft(3BHK+3T)	3 BHK	680 - 1,740 sq ft	₹ 34.16 L - ₹ 61.20 L	1, 2, 3 BHK	80	
31	Prabhavathi Springs Field	Prabhavathi	Begur	On Hold		Possession date: Dec'18	1472 sq ft(3BHK+3T)	3 BHK	816 - 1,472 sq ft	₹ 36.40 L - ₹ 55.94 L	1, 2, 3 BHK	215	
32	Total Environment In That Quiet Earth	Total Environment	Anagalapura Near Hennur Main Road	On Hold	Located in Anagalapura Near Hennur Main Road, Bangalore, In That Quiet Earth is a premium housing project launched by Total Environment. The project offers Apartment in 2, 3, 4 BHK configurations available from 1360 sqft to 4802 sqft. These units in Bangalore North, are available at an attractive price points starting at @Rs 6,250 per sqft and will be available to buyers at a starting price of Rs 85.00 lacs. The project is Pre Launch project and possession in Dec 20. In That Quiet Earth has many amenities, such as Intercom, Library, Recreation Facilities, Badminton Court, Squash Court etc.	Possession date: Dec'20	4802 sq ft(4BHK+4T + Servant Room)	4 BHK	1,360 - 4,802 sq ft	₹ 85.00 L - ₹ 3.00 Cr	2, 3, 4 BHK	552	
33	VKC Chourasia Sapphire	VKC	Mahadevapura	Under Construction	Chourasia Sapphire residential project is soon going to be launched by VKC in Mahadevapura, Bangalore. All modern amenities viz. Rain Water Harvesting, Landscaped Gardens, Gym, Pool, Organic Park, Serene Water Bodies, Amphitheater, Basketball Court, Steam, Jacuzzi, Sauna, Beauty Saloon, Library, Day care, Banquet hall, Laundry, Departmental Store and Spa are available in this building. The possession of apartments will begin in January, 2016. VKC is dedicated to provide fashionable and continent homes provided with all the ultra-modern amenities that match with the best of global standards, at affordable price Mahadevapura is one of the fast developing localities in the east of Bangalore city.	Possession date: Jan'19	2283 sq ft(3BHK+3T)	3 BHK	1,463 - 2,283 sq ft	₹ 1.02 Cr - ₹ 1.60 Cr	3 BHK	42	
34	Ozone Promenade	Ozone Group	Mahadevapura	Under Construction		Possession date: Oct'19	2400 sq ft(3BHK+3T)	3 BHK	1,345 - 2,400 sq ft	₹ 82.58 L - ₹ 1.47 Cr	2, 3 BHK	549	RERA ID: PR/KN/170731/000781
35	Candeur Carlisle	Candeur	Mahadevapura	Under Construction	Candeur Carlisle, located at Mahadevapura in Bengaluru is a premium housing community offering 2 and 3 BHK apartments for sale. It hosts an array of amenities such as a gymnasium, a swimming pool, childrenâ€™s play area, a club house, a cafeteria, sports facilty, intercom facility, 24x7 security, jogging track, power backup provision, indoor games, car parking area, an elevator, etc. Mahadevapura, lying on the eastern side of Bengaluru, has now become one of its primary industrial areas. Once almost a village, it has now transformed itself into a bustling locality. The locality is well-connected to Marathahalli, Indira Nagar, Whitefield, Commercial Street and Sarjapur.	Possession date: Dec'19	1604 sq ft(3BHK+3T)	3 BHK	1,135 - 1,604 sq ft	₹ 65.82 L - ₹ 93.02 L	2, 3 BHK	304	RERA ID: PR/KN/170731/000641
36	Prabhavathi Comforts	Prabhavathi	Begur	On Hold		Possession date: Dec'18	1482 sq ft(3BHK+3T)	3 BHK	972 - 1,482 sq ft	₹ 34.02 L - ₹ 39.02 L	2, 3 BHK	84	
37	Prabhavathi Bliss 2	Prabhavathi	Begur	On Hold		Possession date: Dec'18	1329 sq ft(3BHK+2T)	3 BHK	685 - 1,329 sq ft	₹ 24.66 L - ₹ 47.77 L	1, 2, 3 BHK	99	
38	DS Springfield	DS Max Properties	Anagalapura Near Hennur Main Road	Under Construction	Launched by DS Max, Springfield, is a premium housing project located at Anagalapura Near Hennur Main Road in Bangalore. Offering 1, 2, 3 BHK Apartment in Bangalore North are available from 672 sqft to 1769 sqft. This project hosts amenities like Boundary Plantation, 24 X 7 Security, DTH Television Facility, Visitor Seating Plaza, Rain Water Harvesting etc. Available at attractive price points starting at @Rs 2,800 per sqft, the Apartment are available for sale from Rs 18.82 lacs to Rs 49.53 lacs. The project is Under Construction project and possession in Sep 18.	Possession date: Sep'18	1769 sq ft(3BHK+2T)	3 BHK	672 - 1,769 sq ft	₹ 28.59 L - ₹ 37.49 L	1, 2, 3 BHK	264	
39	Hiranandani Kingston	House Of Hiranandani	Begur	Under Construction		Possession date: Dec'19	1814 sq ft(3BHK+3T)	3 BHK	1,272 - 1,814 sq ft	₹ 71.87 L - ₹ 1.02 Cr	2, 3 BHK	472	
40	Hiranandani Penrith	House Of Hiranandani	Begur	Under Construction	Begur region of Bangalore is now the centre of residential projects made by the Hiranandani Penrith Residency Apartments. These projects deliver great apartments which are rooted with fine quality materials. The cost of the apartments is based on the request value. All the necessary facilities like bank, ATMs, train station, metro station, bus station, hospital, play school, petrol pump, park, school, higher education facilities, and restaurant all in a near vicinity of the residential project. Other amenities of the project are intercom, power back up a well-developed green area serving as a garden, a community hall, and a playground for the children and they also have facilities for outdoor games, a club house and more.	Possession date: Jan'20	595 sq ft(1BHK+1T)	1 BHK	595 sq ft	₹ 32.13 L	1 BHK	96	
41	DS Saanjh	DS Max Properties	Begur	Under Construction	DS Max Saanjh is a housing community in Begur, Bangalore. The complex is being developed over 1.5 acres. The flats are available through the developer solely. The community has various amenities on offer that include swimming pool, gymnasium, intercom services, children’s play area and club house. DS Max Properties Pvt. Ltd. is one of Bangalore prolific developers that have worked on ninety six properties so far. Forty four of their projects are under construction. Some of them are in Jalahalli and Malleswaram.	Possession date: Mar'19	1813 sq ft(3BHK+2T)	3 BHK	986 - 1,813 sq ft	₹ 39.71 L - ₹ 63.69 L	2, 3 BHK	160	
42	Windsor Troika	Windsor	Begur	Under Construction	Troika by Windsor, located in Begur, Bangalore, offers apartments with the price being on request. The amenities include gymnasium, swimming pool, childrenâ€™s play area, club house, multipurpose room, 24x7 security, jogging track, power backup, landscaped gardens, indoor games, car parking, community lawn, amphitheatre, sewage treatment plant and many others.One of the fastest developing areas of Bangalore, Begur is situated just off the Bangalore-Hosur Highway, it hosts the famous attraction Nageshvara Temple, while corporate giants such as Wipro, Infosys, BHEL, IBM and Oracle Corporation have set up their offices in close proximity. The area boasts of smooth connectivity to the rest of the city, and also has considerable number of reputed schools and hospitals in the vicinity. Puravankara, DLF, TG Developers, and Hiranandani are some of the key builders who have their projects here. The average price of apartments in Begur is Rs. 3501 per sq ft.	Possession date: Dec'18	1814 sq ft(3BHK+3T)	3 BHK	1,416 - 1,814 sq ft	₹ 63.72 L - ₹ 81.63 L	2, 3 BHK	189	RERA ID: PR/KN/170802/001023
43	Sumo Symphony	Sumo Properties	Begur	Launch		Possession date: Dec'18	1589 sq ft(3BHK+3T + Study Room)	3 BHK	403 - 1,589 sq ft	₹ 14.11 L - ₹ 55.62 L	1, 2, 3 BHK	62	
44	Nandi Nandi Citadel	Nandi Housing	Begur	Under Construction		Possession date: Nov'18	1650 sq ft(3BHK+2T)	3 BHK	1,000 - 1,650 sq ft	₹ 44.00 L - ₹ 72.60 L	2, 3 BHK	420	RERA ID: PR/KN/170801/000925
